"(3, 2)",100,1
"(4, 2)",8,2
"(1, 1)",35,2
"(0, 2)",56,2
"(1, 4)",1,2
"(2, 1)",70,3
"(3, 3)",29,3
"(1, 2)",1,3
"(1, 2)",39,4
"(3, 2)",30,4
"(1, 1)",15,4
"(3, 1)",15,4
"(2, 1)",1,4
"(2, 3)",74,5
"(2, 0)",26,5
"(0, 2)",24,6
"(2, 0)",30,6
"(3, 0)",15,6
"(1, 1)",22,6
"(2, 4)",5,6
"(0, 3)",2,6
"(4, 3)",2,6
"(1, 1)",100,7
"(3, 3)",52,8
"(3, 1)",45,8
"(2, 4)",2,8
"(2, 0)",1,8
"(4, 2)",36,9
"(2, 0)",54,9
"(3, 1)",10,9
"(3, 1)",98,10
"(2, 3)",2,10
"(0, 2)",83,11
"(2, 4)",7,11
"(2, 0)",10,11
"(2, 3)",100,12
"(2, 3)",99,13
"(1, 3)",1,13
"(2, 1)",44,14
"(3, 1)",55,14
"(2, 4)",1,14
"(3, 3)",48,15
"(3, 1)",44,15
"(4, 2)",3,15
"(1, 1)",4,15
"(1, 3)",1,15
"(2, 3)",100,16
"(1, 2)",100,17
"(2, 2)",98,18
"(3, 2)",2,18
"(1, 2)",61,19
"(3, 1)",11,19
"(3, 2)",28,19
"(2, 2)",100,20
