"(3, 2)",35,1
"(2, 4)",64,1
"(1, 2)",1,1
"(1, 1)",43,2
"(0, 2)",54,2
"(4, 2)",3,2
"(3, 3)",41,3
"(2, 1)",59,3
"(3, 1)",53,4
"(2, 1)",4,4
"(1, 1)",43,4
"(2, 3)",100,5
"(1, 1)",37,6
"(2, 0)",20,6
"(0, 2)",25,6
"(3, 0)",12,6
"(2, 4)",4,6
"(4, 3)",1,6
"(4, 4)",1,6
"(1, 1)",100,7
"(2, 0)",49,8
"(2, 4)",44,8
"(3, 1)",6,8
"(3, 3)",1,8
"(2, 0)",99,9
"(1, 0)",1,9
"(3, 1)",93,10
"(2, 3)",7,10
"(2, 0)",89,11
"(2, 4)",11,11
"(2, 3)",80,12
"(3, 1)",20,12
"(2, 0)",66,13
"(2, 3)",33,13
"(1, 3)",1,13
"(3, 1)",72,14
"(2, 4)",2,14
"(2, 1)",25,14
"(3, 4)",1,14
"(3, 1)",48,15
"(3, 3)",46,15
"(1, 1)",3,15
"(1, 3)",3,15
"(2, 3)",100,16
"(1, 2)",100,17
"(2, 2)",100,18
"(1, 2)",31,19
"(3, 1)",12,19
"(3, 2)",54,19
"(3, 3)",3,19
"(2, 2)",100,20
